run_id,condition,success,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,key_press,viewing_distance_cm,cardWidth_px,final_width_px,scale_factor,item_width,pixels_unit_screen,pixels_per_unit,animation_sequence,responses,button_pressed,value,col_row_answers,correct_response,question_order,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version
4,1,"""",html-keyboard-response,21,161743,0.0-2.0-2.0,null,"<p style=""font-size: 48px;"">ready?</p>",null,"""","""","""","""","""","""","""","""","""","""","""","""","""","""",9/13/2020 11:44,68.184.194.251,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:48.0) Gecko/20100101 Firefox/48.0,Macintosh,Firefox,48,OS X,10.6
4,1,"""",html-keyboard-response,22,163247,0.0-2.0-3.0,null,"<p style=""font-size: 48px;"">ready?</p>",null,"""","""","""","""","""","""","""","""","""","""","""","""","""","""",9/13/2020 11:44,68.184.194.251,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:48.0) Gecko/20100101 Firefox/48.0,Macintosh,Firefox,48,OS X,10.6
4,1,"""",html-keyboard-response,23,164750,0.0-2.0-4.0,null,"<p style=""font-size: 48px;"">ready?</p>",null,"""","""","""","""","""","""","""","""","""","""","""","""","""","""",9/13/2020 11:44,68.184.194.251,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:48.0) Gecko/20100101 Firefox/48.0,Macintosh,Firefox,48,OS X,10.6
4,1,"""",animation,24,186764,0.0-2.0-5.0,22009.37,"""","""","""","""","""","""","""","""","""","[{""stimulus"":""img/016_R_filler_absent.jpg"",""time"":321.58499999999185},{""stimulus"":""blank"",""time"":562.695000000007},{""stimulus"":""img/016_R_filler_absent.jpg"",""time"":640.6999999999825},{""stimulus"":""blank"",""time"":882.679999999993},{""stimulus"":""img/016_R_filler_present.jpg"",""time"":960.5899999999965},{""stimulus"":""blank"",""time"":1201.2550000000047},{""stimulus"":""img/016_R_filler_present.jpg"",""time"":1281.0449999999837},{""stimulus"":""blank"",""time"":1522.1650000000081},{""stimulus"":""img/016_R_filler_absent.jpg"",""time"":1600.1199999999953},{""stimulus"":""blank"",""time"":1841.609999999986},{""stimulus"":""img/016_R_filler_absent.jpg"",""time"":1919.9150000000081},{""stimulus"":""blank"",""time"":2161.790000000008},{""stimulus"":""img/016_R_filler_present.jpg"",""time"":2241.1600000000035},{""stimulus"":""blank"",""time"":2482.6600000000035},{""stimulus"":""img/016_R_filler_present.jpg"",""time"":2560.429999999993},{""stimulus"":""blank"",""time"":2801.5050000000047},{""stimulus"":""img/016_R_filler_absent.jpg"",""time"":2880.704999999987},{""stimulus"":""blank"",""time"":3122.2600000000093},{""stimulus"":""img/016_R_filler_absent.jpg"",""time"":3200.6900000000023},{""stimulus"":""blank"",""time"":3441.6600000000035},{""stimulus"":""img/016_R_filler_present.jpg"",""time"":3520.764999999985},{""stimulus"":""blank"",""time"":3761.709999999992},{""stimulus"":""img/016_R_filler_present.jpg"",""time"":3840.899999999994},{""stimulus"":""blank"",""time"":4082.5350000000035},{""stimulus"":""img/016_R_filler_absent.jpg"",""time"":4160.654999999999},{""stimulus"":""blank"",""time"":4402.299999999988},{""stimulus"":""img/016_R_filler_absent.jpg"",""time"":4480.440000000002},{""stimulus"":""blank"",""time"":4721.595000000001},{""stimulus"":""img/016_R_filler_present.jpg"",""time"":4800.559999999998},{""stimulus"":""blank"",""time"":5041.654999999999},{""stimulus"":""img/016_R_filler_present.jpg"",""time"":5120.704999999987},{""stimulus"":""blank"",""time"":5362.470000000001},{""stimulus"":""img/016_R_filler_absent.jpg"",""time"":5441.100000000006},{""stimulus"":""blank"",""time"":5683.0350000000035},{""stimulus"":""img/016_R_filler_absent.jpg"",""time"":5759.809999999998},{""stimulus"":""blank"",""time"":6001.6449999999895},{""stimulus"":""img/016_R_filler_present.jpg"",""time"":6080.505000000005},{""stimulus"":""blank"",""time"":6322.3249999999825},{""stimulus"":""img/016_R_filler_present.jpg"",""time"":6400.2850000000035},{""stimulus"":""blank"",""time"":6641.229999999981},{""stimulus"":""img/016_R_filler_absent.jpg"",""time"":6720.119999999995},{""stimulus"":""blank"",""time"":6961.445000000007},{""stimulus"":""img/016_R_filler_absent.jpg"",""time"":7040.1600000000035},{""stimulus"":""blank"",""time"":7281.565000000002},{""stimulus"":""img/016_R_filler_present.jpg"",""time"":7359.790000000008},{""stimulus"":""blank"",""time"":7601},{""stimulus"":""img/016_R_filler_present.jpg"",""time"":7680.989999999991},{""stimulus"":""blank"",""time"":7922.684999999998},{""stimulus"":""img/016_R_filler_absent.jpg"",""time"":8000.2699999999895},{""stimulus"":""blank"",""time"":8241.76999999999},{""stimulus"":""img/016_R_filler_absent.jpg"",""time"":8319.994999999995},{""stimulus"":""blank"",""time"":8561.51999999999},{""stimulus"":""img/016_R_filler_present.jpg"",""time"":8640.324999999983},{""stimulus"":""blank"",""time"":8881.559999999998},{""stimulus"":""img/016_R_filler_present.jpg"",""time"":8960.199999999983},{""stimulus"":""blank"",""time"":9201.440000000002},{""stimulus"":""img/016_R_filler_absent.jpg"",""time"":9280.839999999997},{""stimulus"":""blank"",""time"":9522.279999999999},{""stimulus"":""img/016_R_filler_absent.jpg"",""time"":9600.660000000003},{""stimulus"":""blank"",""time"":9841.630000000005},{""stimulus"":""img/016_R_filler_present.jpg"",""time"":9920.449999999983},{""stimulus"":""blank"",""time"":10161.785000000003},{""stimulus"":""img/016_R_filler_present.jpg"",""time"":10240.424999999988},{""stimulus"":""blank"",""time"":10481.774999999994},{""stimulus"":""img/016_R_filler_absent.jpg"",""time"":10560.354999999981},{""stimulus"":""blank"",""time"":10802.13500000001},{""stimulus"":""img/016_R_filler_absent.jpg"",""time"":10880.424999999988},{""stimulus"":""blank"",""time"":11121.954999999987},{""stimulus"":""img/016_R_filler_present.jpg"",""time"":11200.279999999999},{""stimulus"":""blank"",""time"":11442.179999999993},{""stimulus"":""img/016_R_filler_present.jpg"",""time"":11520.320000000007},{""stimulus"":""blank"",""time"":11761.744999999995},{""stimulus"":""img/016_R_filler_absent.jpg"",""time"":11840.579999999987},{""stimulus"":""blank"",""time"":12081.755000000005},{""stimulus"":""img/016_R_filler_absent.jpg"",""time"":12160.160000000003},{""stimulus"":""blank"",""time"":12402.264999999985},{""stimulus"":""img/016_R_filler_present.jpg"",""time"":12479.904999999999},{""stimulus"":""blank"",""time"":12721.190000000002},{""stimulus"":""img/016_R_filler_present.jpg"",""time"":12801.26000000001},{""stimulus"":""blank"",""time"":13042.824999999983},{""stimulus"":""img/016_R_filler_absent.jpg"",""time"":13120.294999999984},{""stimulus"":""blank"",""time"":13361.89499999999},{""stimulus"":""img/016_R_filler_absent.jpg"",""time"":13440.619999999995},{""stimulus"":""blank"",""time"":13681.949999999983},{""stimulus"":""img/016_R_filler_present.jpg"",""time"":13761.065000000002},{""stimulus"":""blank"",""time"":14002.229999999981},{""stimulus"":""img/016_R_filler_present.jpg"",""time"":14079.919999999984},{""stimulus"":""blank"",""time"":14321.01999999999},{""stimulus"":""img/016_R_filler_absent.jpg"",""time"":14400.454999999987},{""stimulus"":""blank"",""time"":14642.119999999995},{""stimulus"":""img/016_R_filler_absent.jpg"",""time"":14721.049999999988},{""stimulus"":""blank"",""time"":14962.23999999999},{""stimulus"":""img/016_R_filler_present.jpg"",""time"":15040.424999999988},{""stimulus"":""blank"",""time"":15282.389999999985},{""stimulus"":""img/016_R_filler_present.jpg"",""time"":15360.225000000006},{""stimulus"":""blank"",""time"":15601.845000000001},{""stimulus"":""img/016_R_filler_absent.jpg"",""time"":15679.709999999992},{""stimulus"":""blank"",""time"":15920.915000000008},{""stimulus"":""img/016_R_filler_absent.jpg"",""time"":16000.734999999986},{""stimulus"":""blank"",""time"":16241.984999999986},{""stimulus"":""img/016_R_filler_present.jpg"",""time"":16320.419999999984},{""stimulus"":""blank"",""time"":16562.109999999986},{""stimulus"":""img/016_R_filler_present.jpg"",""time"":16640.044999999984},{""stimulus"":""blank"",""time"":16881.320000000007},{""stimulus"":""img/016_R_filler_absent.jpg"",""time"":16960.369999999995},{""stimulus"":""blank"",""time"":17202.26999999999},{""stimulus"":""img/016_R_filler_absent.jpg"",""time"":17280.195000000007},{""stimulus"":""blank"",""time"":17521.609999999986},{""stimulus"":""img/016_R_filler_present.jpg"",""time"":17600.040000000008},{""stimulus"":""blank"",""time"":17841.544999999984},{""stimulus"":""img/016_R_filler_present.jpg"",""time"":17920.244999999995},{""stimulus"":""blank"",""time"":18161.23999999999},{""stimulus"":""img/016_R_filler_absent.jpg"",""time"":18239.934999999998},{""stimulus"":""blank"",""time"":18481.774999999994},{""stimulus"":""img/016_R_filler_absent.jpg"",""time"":18560.505000000005},{""stimulus"":""blank"",""time"":18802.225000000006},{""stimulus"":""img/016_R_filler_present.jpg"",""time"":18880.14499999999},{""stimulus"":""blank"",""time"":19121.630000000005},{""stimulus"":""img/016_R_filler_present.jpg"",""time"":19199.579999999987},{""stimulus"":""blank"",""time"":19441.574999999983},{""stimulus"":""img/016_R_filler_absent.jpg"",""time"":19520.440000000002},{""stimulus"":""blank"",""time"":19761.48000000001},{""stimulus"":""img/016_R_filler_absent.jpg"",""time"":19840.195000000007},{""stimulus"":""blank"",""time"":20082.139999999985},{""stimulus"":""img/016_R_filler_present.jpg"",""time"":20160.619999999995},{""stimulus"":""blank"",""time"":20401.845},{""stimulus"":""img/016_R_filler_present.jpg"",""time"":20480.834999999992},{""stimulus"":""blank"",""time"":20722.929999999993},{""stimulus"":""img/016_R_filler_absent.jpg"",""time"":20800.949999999983},{""stimulus"":""blank"",""time"":21042.51000000001},{""stimulus"":""img/016_R_filler_absent.jpg"",""time"":21120.959999999992},{""stimulus"":""blank"",""time"":21362.005000000005},{""stimulus"":""img/016_R_filler_present.jpg"",""time"":21441.304999999993},{""stimulus"":""blank"",""time"":21682.98000000001},{""stimulus"":""img/016_R_filler_present.jpg"",""time"":21760.324999999983},{""stimulus"":""blank"",""time"":22001.584999999992}]","[{""key_press"":32,""rt"":22009.26999999999,""stimulus"":""blank""}]","""","""","3,2","""","""",9/13/2020 11:44,68.184.194.251,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:48.0) Gecko/20100101 Firefox/48.0,Macintosh,Firefox,48,OS X,10.6
4,1,"""",image-button-response,25,191108,0.0-2.0-6.0,4337.59,detection grids/016R.jpg,"""","""","""","""","""","""","""","""","""","""",3,"""","""",TRUE,"""",9/13/2020 11:44,68.184.194.251,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:48.0) Gecko/20100101 Firefox/48.0,Macintosh,Firefox,48,OS X,10.6
4,1,"""",image-button-response,26,192100,0.0-2.0-7.0,986.725,detection grids/016R.jpg,"""","""","""","""","""","""","""","""","""","""",2,"""","""",TRUE,"""",9/13/2020 11:44,68.184.194.251,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:48.0) Gecko/20100101 Firefox/48.0,Macintosh,Firefox,48,OS X,10.6
4,1,"""",call-function,27,192104,0.0-2.0-0.1,"""","""","""","""","""","""","""","""","""","""","""","""","""",[object Object],"""","""","""",9/13/2020 11:44,68.184.194.251,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:48.0) Gecko/20100101 Firefox/48.0,Macintosh,Firefox,48,OS X,10.6
4,1,"""",html-keyboard-response,28,192107,0.0-2.0-1.1,"""","""","""","""","""","""","""","""","""","""","""","""","""",[object Object],"""","""","""",9/13/2020 11:44,68.184.194.251,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:48.0) Gecko/20100101 Firefox/48.0,Macintosh,Firefox,48,OS X,10.6
4,1,"""",html-keyboard-response,29,193108,0.0-2.0-2.1,null,"<p style=""font-size: 48px;"">ready?</p>",null,"""","""","""","""","""","""","""","""","""","""","""","""","""","""",9/13/2020 11:44,68.184.194.251,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:48.0) Gecko/20100101 Firefox/48.0,Macintosh,Firefox,48,OS X,10.6
4,1,"""",html-keyboard-response,30,194610,0.0-2.0-3.1,null,"<p style=""font-size: 48px;"">ready?</p>",null,"""","""","""","""","""","""","""","""","""","""","""","""","""","""",9/13/2020 11:44,68.184.194.251,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:48.0) Gecko/20100101 Firefox/48.0,Macintosh,Firefox,48,OS X,10.6
