run_id,condition,success,trial_type,trial_index,time_elapsed,internal_node_id,id,distance,width,train_repeats,card_width_px,condition,value,final_width_px,scale_factor,item_width,pixels_unit_screen,pixels_per_unit,animation_sequence,responses,rt,stimulus,stimulus_side,key_press,acc,animation_performance,bProblem,sProblem,trial_began,training,timing_response,fade_out_time,fade_in_time,fade_out_length,stimulus_alpha,timing_post_trial,within_ITI,trial,button_pressed,col_row_answers,cb_trial,correct_response,question_order,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version
1,1,"""",bRMS,20,66757,0.0-4.0-0.0,yuval,28.301,387,1,387,2,"""","""","""","""","""","""","""","""",1675.065,faces/5.jpg,1,75,1,[object Object],0,0,1.60769E+12,"""",0,20,1,10,0.4,100,900,1,"""","""","""","""","""",12/11/2020 13:21,188.120.158.162,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",WebKit,Chrome,87.0.4280.88,Windows,10
1,1,"""",bRMS,21,69418,0.0-4.0-2.0,yuval,28.301,387,1,387,2,"""","""","""","""","""","""","""","""",1725.71,faces/1.jpg,0,68,1,[object Object],0,0,1.60769E+12,"""",0,20,1,10,0.4,100,900,2,"""","""","""","""","""",12/11/2020 13:21,188.120.158.162,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",WebKit,Chrome,87.0.4280.88,Windows,10
1,1,"""",bRMS,22,71558,0.0-4.0-4.0,yuval,28.301,387,1,387,2,"""","""","""","""","""","""","""","""",1214.675,faces/3.jpg,1,75,1,[object Object],0,0,1.60769E+12,"""",0,20,1,10,0.4,100,900,3,"""","""","""","""","""",12/11/2020 13:21,188.120.158.162,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",WebKit,Chrome,87.0.4280.88,Windows,10
1,1,"""",bRMS,23,74716,0.0-4.0-6.0,yuval,28.301,387,1,387,2,"""","""","""","""","""","""","""","""",2225.825,faces/5.jpg,1,75,1,[object Object],0,0,1.60769E+12,"""",0,20,1,10,0.4,100,900,4,"""","""","""","""","""",12/11/2020 13:21,188.120.158.162,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",WebKit,Chrome,87.0.4280.88,Windows,10
1,1,"""",bRMS,24,77069,0.0-4.0-8.0,yuval,28.301,387,1,387,2,"""","""","""","""","""","""","""","""",1425.005,faces/1.jpg,1,75,1,[object Object],0,0,1.60769E+12,"""",0,20,1,10,0.4,100,900,5,"""","""","""","""","""",12/11/2020 13:21,188.120.158.162,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",WebKit,Chrome,87.0.4280.88,Windows,10
1,1,"""",bRMS,25,79510,0.0-4.0-10.0,yuval,28.301,387,1,387,2,"""","""","""","""","""","""","""","""",1511.69,faces/3.jpg,1,75,1,[object Object],0,0,1.60769E+12,"""",0,20,1,10,0.4,100,900,6,"""","""","""","""","""",12/11/2020 13:21,188.120.158.162,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",WebKit,Chrome,87.0.4280.88,Windows,10
1,1,"""",bRMS,26,81964,0.0-4.0-12.0,yuval,28.301,387,1,387,2,"""","""","""","""","""","""","""","""",1526.25,faces/1.jpg,0,68,1,[object Object],0,0,1.60769E+12,"""",0,20,1,10,0.4,100,900,7,"""","""","""","""","""",12/11/2020 13:21,188.120.158.162,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",WebKit,Chrome,87.0.4280.88,Windows,10
1,1,"""",bRMS,27,84438,0.0-4.0-14.0,yuval,28.301,387,1,387,2,"""","""","""","""","""","""","""","""",1543.67,faces/3.jpg,1,75,1,[object Object],0,0,1.60769E+12,"""",0,20,1,10,0.4,100,900,8,"""","""","""","""","""",12/11/2020 13:21,188.120.158.162,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",WebKit,Chrome,87.0.4280.88,Windows,10
1,1,"""",bRMS,28,90741,0.0-4.0-16.0,yuval,28.301,387,1,387,2,"""","""","""","""","""","""","""","""",5373.155,faces/5.jpg,1,75,1,[object Object],0,0,1.60769E+12,"""",0,20,1,10,0.4,100,900,9,"""","""","""","""","""",12/11/2020 13:21,188.120.158.162,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",WebKit,Chrome,87.0.4280.88,Windows,10
1,1,"""",bRMS,29,92978,0.0-4.0-18.0,yuval,28.301,387,1,387,2,"""","""","""","""","""","""","""","""",1308.055,faces/3.jpg,1,75,1,[object Object],0,0,1.60769E+12,"""",0,20,1,10,0.4,100,900,10,"""","""","""","""","""",12/11/2020 13:21,188.120.158.162,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",WebKit,Chrome,87.0.4280.88,Windows,10
1,1,"""",bRMS,30,94652,0.0-4.0-20.0,yuval,28.301,387,1,387,2,"""","""","""","""","""","""","""","""",747.435,faces/1.jpg,1,75,1,[object Object],0,0,1.60769E+12,"""",0,20,1,10,0.4,100,900,11,"""","""","""","""","""",12/11/2020 13:21,188.120.158.162,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",WebKit,Chrome,87.0.4280.88,Windows,10
1,1,"""",bRMS,31,96996,0.0-4.0-21.0,yuval,28.301,387,1,387,2,"""","""","""","""","""","""","""","""",1412.95,faces/5.jpg,0,68,1,[object Object],0,0,1.60769E+12,"""",0,20,1,10,0.4,100,900,12,"""","""","""","""","""",12/11/2020 13:21,188.120.158.162,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",WebKit,Chrome,87.0.4280.88,Windows,10
1,1,"""",html-keyboard-response,32,99356,0.0-5.0-0.0,yuval,28.301,387,1,387,2,"""","""","""","""","""","""","""","""",2355.705,"<p style='font-size: 28px;'>First part is done!</p>    <p style='font-size: 28px;'>You've finished about half of the study, great job!</p>    <p style='font-size: 24px;' align='center'><i>Press the space bar to continue.</i></p>","""",32,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",12/11/2020 13:21,188.120.158.162,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",WebKit,Chrome,87.0.4280.88,Windows,10
1,1,"""",html-keyboard-response,33,101531,0.0-5.0-1.0,yuval,28.301,387,1,387,2,"""","""","""","""","""","""","""","""",2173.05,<p style='font-size: 28px;'>We will now go on to the second task.</p>    <p style='font-size: 28px;'>Please read the following instructions carefully.</p>    <p style='font-size: 24px;' align='center'><i>Press the space bar to continue.</i></p>,"""",32,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",12/11/2020 13:21,188.120.158.162,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",WebKit,Chrome,87.0.4280.88,Windows,10
